subject,time,VOC@0.132,VOC@1.099,VOC@1.136,VOC@1.228,VOC@1.318,VOC@1.363,VOC@1.425,VOC@1.529,VOC@1.584,VOC@1.615,VOC@1.697,VOC@1.718,VOC@1.787,VOC@1.827,VOC@1.897,VOC@1.966,VOC@10.089,VOC@10.132,VOC@10.196,VOC@10.264,VOC@10.323,VOC@10.423,VOC@10.488,VOC@10.528,VOC@10.624,VOC@10.663,VOC@10.726,VOC@10.834,VOC@10.876,VOC@10.924,VOC@10.991,VOC@11.069,VOC@11.144,VOC@11.215,VOC@11.254,VOC@11.349,VOC@11.479,VOC@11.587,VOC@11.679,VOC@11.767,VOC@11.834,VOC@11.898,VOC@11.954,VOC@12.031,VOC@12.086,VOC@12.160,VOC@12.240,VOC@12.293,VOC@12.373,VOC@12.444,VOC@12.494,VOC@12.544,VOC@12.599,VOC@12.649,VOC@12.696,VOC@12.815,VOC@12.889,VOC@12.957,VOC@13.034,VOC@13.091,VOC@13.199,VOC@13.277,VOC@13.332,VOC@13.406,VOC@13.487,VOC@13.533,VOC@13.591,VOC@13.677,VOC@13.746,VOC@13.791,VOC@13.834,VOC@13.895,VOC@13.966,VOC@14.028,VOC@14.122,VOC@14.175,VOC@14.275,VOC@14.371,VOC@14.411,VOC@14.455,VOC@14.498,VOC@14.605,VOC@14.655,VOC@14.727,VOC@14.790,VOC@14.854,VOC@14.907,VOC@14.947,VOC@15.014,VOC@15.062,VOC@15.127,VOC@15.196,VOC@15.339,VOC@15.390,VOC@15.433,VOC@15.487,VOC@15.576,VOC@15.613,VOC@15.663,VOC@15.744,VOC@15.838,VOC@15.882,VOC@15.924,VOC@15.977,VOC@16.041,VOC@16.091,VOC@16.156,VOC@16.240,VOC@16.312,VOC@16.353,VOC@16.411,VOC@16.523,VOC@16.594,VOC@16.634,VOC@16.721,VOC@16.764,VOC@16.821,VOC@16.899,VOC@16.946,VOC@17.006,VOC@17.098,VOC@17.144,VOC@17.200,VOC@17.273,VOC@17.351,VOC@17.431,VOC@17.487,VOC@17.565,VOC@17.612,VOC@17.728,VOC@17.762,VOC@17.846,VOC@17.901,VOC@17.972,VOC@18.004,VOC@18.095,VOC@18.177,VOC@18.248,VOC@18.312,VOC@18.364,VOC@18.449,VOC@18.497,VOC@18.563,VOC@18.617,VOC@18.695,VOC@18.783,VOC@18.852,VOC@18.885,VOC@18.950,VOC@19.019,VOC@19.092,VOC@19.156,VOC@19.238,VOC@19.307,VOC@19.367,VOC@19.435,VOC@19.523,VOC@19.585,VOC@19.664,VOC@19.728,VOC@19.810,VOC@19.876,VOC@19.942,VOC@2.021,VOC@2.153,VOC@2.163,VOC@2.230,VOC@2.303,VOC@2.352,VOC@2.447,VOC@2.477,VOC@2.556,VOC@2.648,VOC@2.700,VOC@2.763,VOC@2.838,VOC@2.892,VOC@2.987,VOC@20.004,VOC@20.063,VOC@20.151,VOC@20.218,VOC@20.302,VOC@20.354,VOC@20.422,VOC@20.487,VOC@20.525,VOC@20.573,VOC@20.650,VOC@20.739,VOC@20.801,VOC@20.862,VOC@20.917,VOC@20.973,VOC@21.057,VOC@21.117,VOC@21.179,VOC@21.247,VOC@21.308,VOC@21.385,VOC@21.454,VOC@21.503,VOC@21.583,VOC@21.650,VOC@21.735,VOC@21.762,VOC@3.049,VOC@3.109,VOC@3.179,VOC@3.227,VOC@3.329,VOC@3.372,VOC@3.437,VOC@3.496,VOC@3.555,VOC@3.630,VOC@3.699,VOC@3.768,VOC@3.845,VOC@3.911,VOC@3.995,VOC@4.025,VOC@4.074,VOC@4.148,VOC@4.208,VOC@4.297,VOC@4.334,VOC@4.409,VOC@4.513,VOC@4.590,VOC@4.636,VOC@4.687,VOC@4.775,VOC@4.859,VOC@4.887,VOC@4.979,VOC@5.058,VOC@5.122,VOC@5.181,VOC@5.262,VOC@5.342,VOC@5.390,VOC@5.469,VOC@5.522,VOC@5.605,VOC@5.670,VOC@5.733,VOC@5.807,VOC@5.872,VOC@5.926,VOC@5.982,VOC@6.089,VOC@6.180,VOC@6.258,VOC@6.321,VOC@6.371,VOC@6.434,VOC@6.551,VOC@6.579,VOC@6.647,VOC@6.735,VOC@6.810,VOC@6.860,VOC@6.931,VOC@7.004,VOC@7.066,VOC@7.138,VOC@7.180,VOC@7.261,VOC@7.358,VOC@7.440,VOC@7.516,VOC@7.568,VOC@7.707,VOC@7.750,VOC@7.868,VOC@7.904,VOC@8.013,VOC@8.062,VOC@8.115,VOC@8.181,VOC@8.286,VOC@8.349,VOC@8.414,VOC@8.496,VOC@8.544,VOC@8.620,VOC@8.692,VOC@8.760,VOC@8.849,VOC@8.915,VOC@8.995,VOC@9.052,VOC@9.109,VOC@9.157,VOC@9.224,VOC@9.286,VOC@9.336,VOC@9.427,VOC@9.442,VOC@9.519,VOC@9.560,VOC@9.625,VOC@9.736,VOC@9.772,VOC@9.863,VOC@9.928,VOC@9.993
S01,T6,0,1261.784668,0,0,2459.96167,29163.13987,11676.93057,88062.8579,175610.2452,0,0,0,2865.32188,8455.608347,3187.621943,12424.33609,0,0,10650.16309,0,0,0,0,0,1330.590088,0,0,872.772644,0,4450.84082,0,0,0,0,65.93234253,259.9390869,34.76042175,0,0,0,0,1235.940108,0,0,0,161.0588837,0,0,0,432.0348491,0,224.8091125,0,0,263.6757165,3311.858398,0,0,0,0,0,264.3604705,26.40263668,0,0,0,0,0,0,0,0,0,21.97628403,0,0,0,0,40.54507446,0,694.1935219,26.23105812,1477.332764,0,29.59221888,2789.814972,487.3968384,0,524.7200928,0,0,0,0,0,2320.75293,0,0,0,18.77886644,3939.588434,842.7408043,265.356809,153.2860385,2039.724731,0,1181.217125,42.62980929,685.5171509,660.6820951,123.8213898,0,129.1430586,677.5470746,0,1998.573486,0,434.8875122,4243.187988,1391.494225,0,811.8869138,18.24962287,2013.592589,1475.750946,388.7726477,0,304.955102,6459.274095,4475.520708,4193.508395,19082.31391,18455.20961,40285.46572,11762.80487,0,23211.70305,9618.160271,4015.351511,6314.592461,4528.762865,3365.779613,6753.942267,0,5504.348264,9645.486913,3885.059279,7245.501928,6124.789829,0,3933.405947,16569.48294,5780.271863,13332.30384,8473.074982,0,0,0,0,9688.223926,8152.633995,7678.066609,5465.994255,16866.03355,6444.465397,3133.137536,3029.714382,0,664.7977323,248.2668457,29.48724556,966.0926972,0,47795.39844,2616.286099,140.6173927,1241.984826,0,615.2615185,970.8153571,4841.839634,6728.175091,12359.59802,4953.230302,11655.19565,9316.231478,0,3326.521894,0,21861.62092,3468.281466,4794.655983,3520.982583,3464.565579,0,3360.83833,8908.681361,0,548.4000041,0,230.0857793,16.02548456,3044.020107,0,311332.7813,0,1470.641704,0,758.2219582,588.884898,0,1201.818604,0,0,0,0,0,0,40.23725128,0,0,0,0,0,9109.92914,32.32831746,0,14.57743931,0,0,1344.410558,269.9667358,0,1105.357569,0,503.2395162,0,606.9476306,0,528.9171884,15257.00977,0,0,0,113.1566929,613.5331177,464.206668,0,0,0,108.8122506,4500.49689,521.2002153,16270.12228,95.38244398,686.197937,0,0,0,3484.60418,8586.830078,0,440.5682373,678.1625303,21.17101077,1644.754517,0,0,0,1360.083618,31.65447426,0,234.8820038,1034.086182,0,0,3815.93335,689.8445101,503.4503548,30842.41211,0,0,2337.600207,0,0,750.8545532,727.2158956,5995.573249,214.5819757,3063.231894,759.2770709,4716.311035,1179.74585,0,0,481.6075134,0,2406.877367,1851.54196,5321.762683,6613.42041,0,0,0,0,0,163.2414398,0,19.94618736,0
S01,T9,0,961.6470306,1808.598999,0,3029.773466,33470.57619,16909.31641,1475576.874,1227148.214,154429.4507,102966.9996,0,18322.32128,20311.64596,20624.01745,0,0,0,19330.40039,268.6201477,0,0,0,0,11.71055247,467.4985352,0,16.07664659,0,1791.247129,119.569074,0,0,0,0,0,48.78683472,0,0,117.942894,0,1997.464831,10.27903165,17.62048998,0,0,0,0,0,693.7209324,0,265.4192505,19.48398781,0,18.01731682,1783.851074,0,0,0,0,1383.694946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714.9227191,9928.860363,0,546.6127576,0,1725.92981,0,0,0,0,0,1355.709229,0,0,0,0,2906.813249,1305.7639,338.4194964,15.12179854,1519.022217,0,711.2128894,0,196.3748627,171.6351624,108.9556503,0,41.19413376,844.2326009,16.53085505,1161.086257,0,540.3978271,4155.050781,650.5085449,0,1494.382965,7926.52115,0,0,577.4360504,179.4439816,153.9175821,4768.288956,1578.759029,1619.230547,14568.66895,0,2295.724744,1390.708363,4956.232064,1887.957023,2608.474298,1723.161652,2708.097061,3566.920358,1973.247088,3328.788181,5822.300004,0,5324.282091,3875.091011,4970.138471,3629.929235,0,2174.096612,670783.2832,0,37028.04113,0,19963.38147,10148.35811,0,10447.6398,6308.438884,7590.150253,3311.523357,4673.449684,8835.525747,798.5491031,66155.38624,23641.60636,0,13140.09689,6985.101517,3830.952875,5871.740149,2742.746465,51522.53863,0,3947.284019,3762.808947,19.09240117,4294.778341,15667.17416,0,2082.037451,1970.550299,0,6541.91806,4908.574498,0,440.5132057,0,27098.908,2601.799083,3826.975392,2877.695044,1556.360981,136.359006,79.04149744,10858.90918,0,1088.262451,97.5976295,1014.91645,0,766.8848613,0,481136.7813,0,2417.939171,0,1436.486003,1785.858229,19225.69199,0,2258.228429,136.73338,612.163325,15.74851704,844.2508846,0,960.3563843,48.76529694,395.5825195,1133.436768,0,842.918226,13876.68574,440.1715126,0,345.6952334,0,0,2996.686339,153.1452452,0,3497.664325,0,2581.363117,0,1073.091708,2640.99909,1729.015446,24773.70774,36.42741251,0,31.57930183,2711.580137,0,1294.834231,0,0,0,0,8176.722109,0,30047.22656,178.2494507,1820.502387,521.2263957,0,0,15966.71888,0,861.0055058,2146.911916,23.01318932,0,599.9607093,20.80341721,0,32.84524918,268.6579285,0,920.9123535,525.7609253,0,0,0,2526.718994,254.0260162,257.1055908,41497.10547,0,2528.780126,181.3118063,0,0,479.8979036,5544.105941,4138.290862,2486.770801,3378.02015,3914.79895,6501.941177,784.7408558,0,31.43316078,0,0,0,781.1802648,891.2988914,16639.29102,0,0,0,0,0,977.2895508,0,0,133.9475861
S01,Tb,0,552.4718554,2654.844478,0,14071.71065,28222.34621,0,1289682.989,480858.6328,85767.70769,15205.45667,0,18523.17743,88471.03262,6655.640711,6784.315758,7049.387787,0,14010.09139,0,54.66747188,2217.311956,0,1010.371592,0,30.4871521,861.3459255,9376.097263,0,7734.278743,4985.361293,2488.185809,6508.126666,1555.071939,3661.378665,4528.666613,3722.46575,393.5885925,2121.528809,2064.821746,640.5536433,19559.50126,1947.642706,4072.942799,1251.402697,2215.514081,623.7245367,329.894496,0,2450.84082,0,956.4473267,0,677.5815943,5769.189727,2490.786431,2993.213487,7854.199782,2969.829343,4579.905576,14.49386978,28.85606766,26.99897575,53.96881866,1715.569813,67.21289907,2290.709238,3979.767936,2335.401542,0,8855.786133,0,2436.479837,241.7327379,8489.246426,135.0530526,2922.775879,2070.838867,33.86784522,1257.984516,1037.508208,2442.679426,242.5616433,0,3022.648914,73.97887766,3128.257216,6524.406072,0,1054.950439,14.05082998,683.5996988,674.4073513,1762.10025,0,1238.012519,1458.495534,0,5797.312113,1556.588154,0,70.13357913,2172.799692,507.7046814,1370.742523,1190.204456,2401.799561,1555.864258,413.9403687,0,608.0133017,1342.956002,1559.328804,1454.508532,0,363.0690143,6851.677246,117.1942978,23.79259381,1649.490875,4618.768458,0,55.06315197,0,0,0,5172.102888,1343.970927,1274.616628,17193.93555,0,1376.610617,942.3998967,0,5052.809184,1232.133235,549.5539316,1234.451814,1272.980033,784.7406697,3047.89322,3570.385316,2333.550611,5971.108887,7402.19873,2245.278383,1771.597855,0,0,1655.84436,75.10174764,6482.69821,0,3570.206933,17099.87891,0,4517.605556,6003.493185,0,0,1339.833201,7841.348941,0,11159.47208,6964.648792,0,1267.135292,0,36.85382843,832.4580208,0,345990.8438,3892.950113,841.2480054,1407.313324,90.30326137,1754.766351,1301.381354,0,3564.59526,2760.096542,24.35682678,10120.34613,4323.62769,1205.301639,0,0,48615.09375,0,1044.437622,24.52171002,0,39.20152283,0,27314.87695,602.0076169,969.2392657,0,229.4485474,0,0,33.35984421,774147.0625,0,5139.651383,0,0,0,0,1038.467773,0,0,0,0,0,60.99216461,0,0,0,0,0,1712.014606,19463.69901,307.0965571,0,0,0,0,381.5234375,14.87632084,0,2427.074117,0,0,698.6602783,650.4709473,417.3576682,1815.898496,13968.44727,0,0,17.49746704,2184.162109,0,2227.471528,0,0,0,0,3255.671913,2121.399688,17372.14844,0,2891.274658,0,0,19.84994125,2399.647885,7138.157715,385.1233215,1295.338135,436.2698364,0,0,0,0,0,0,559.3552856,1086.822266,6619.810547,0,0,0,732.9580078,757.2074671,0,24439.81057,5017.012156,3729.916748,2171.508141,702.8581077,5483.259766,953.6633301,4957.141195,7588.032339,9764.421263,6889.297915,4050.607292,18633.93555,1647.586914,1267.246338,0,5423.323242,0,9149.732178,11692.216,320.6109568,26895.90039,0,311.3084717,0,0,0,0,1142.625488,853.0906454,22374.94279
S01,T7,0,770.3522307,1681.646236,0,5686.004027,48761.69866,7222.524132,1549772.334,362269.9067,0,0,0,21593.45982,119420.2662,0,21217.59825,0,0,10861.40168,0,34.19024233,0,0,979.8936217,2314.2229,0,0,1162.339844,0,11014.85449,48.79466248,0,0,0,0,665.2938843,694.402771,0,0,1016.749276,0,4147.724497,111.2917487,22.12006408,513.8383789,16.96090889,0,0,0,914.015625,0,294.1470032,16.03484535,0,432.2989197,4123.48877,0,0,0,0,0,0,32.64305115,0,0,0,0,0,0,0,0,0,15.42520618,0,20.32842064,0,0,0,64.60977173,777.069397,0,795.5168448,12.02664655,0,4608.258789,0,0,1093.710693,0,0,0,0,0,230.7794647,0,0,27.78284645,0,1115.853308,985.5013836,276.3692627,0,1645.863647,0,1391.595253,143.4472772,644.0731976,721.3284719,83.85846823,0,17.31361116,551.1403809,0,2986.381104,0,417.7551995,3694.483643,1187.735192,0,1646.334106,2499.592304,0,19.21900012,403.9141017,208.8403192,277.802878,6062.135604,5490.31429,4720.966417,21723.9085,0,81118.41299,0,0,15859.46464,8724.418949,5346.461419,4470.781144,0,0,5777.051495,7104.552809,0,7161.945194,4395.263216,10289.70686,7170.151484,0,4248.171131,61072.79078,0,17111.74815,18330.52148,6037.992287,9188.503728,3960.32484,3779.607886,8218.480307,2904.629763,2718.816918,2505.529245,6125.088824,220.2385834,17316.88742,12219.53874,0,8366.343903,4934.699916,2411.881149,4769.327312,0,796639.0774,33027.0146,1230.8164,7389.272368,0,8581.922937,3641.398511,377.1671453,2164.612877,1823.539547,518.9246602,5421.888976,2224.855812,1769.126299,0,0,24309.22424,104.1613129,1795.464864,901.1595404,917.5224763,0,2811.407849,12878.53155,3785.427003,687.9017416,0,296.710154,0,12646.57016,955.663916,366751.0313,0,1802.811321,0,0,1813.329065,0,3564.045238,148.8473961,98.43645561,209.3336145,432.7820755,0,0,1576.338501,0,0,38.95056915,0,0,26404.83594,0,26.452425,36.93994141,0,0,3273.259861,0,580.698103,2152.407482,0,28.55426971,387.7999878,0,265.3379517,0,44147.66629,44.62115614,0,1088.932764,2240.732849,0,995.8818885,0,0,0,675.5229931,4158.024324,186.429319,16948.23242,0,1023.989563,0,0,0,8278.528229,0,0,683.9163208,1317.433778,8.117315872,543.6567993,0,0,0,1560.177368,0,14.98526917,0,829.7524414,0,159.8763212,4999.418734,967.5609913,0,38679.27734,0,0,1794.374146,0,0,884.2715358,5575.545789,4054.727087,4554.15852,4902.439949,3233.205471,11078.03182,2529.542753,0,15.72778511,0,0,461.6159607,3360.370929,9519.227301,5546.117038,0,0,664.8538904,0,0,411.7235107,0,191.2795715,193.2767029
S01,T10,0,2296.455491,0,0,1754.09729,46089.01811,18966.43398,39954.96502,378554.4804,0,27978.46999,0,14035.84396,17256.6726,3532.095752,14863.3784,0,0,9686.368164,0,0,0,0,0,0,0,0,420.9690552,0,5304.458496,0,0,202.613678,0,455.6057129,0,0,0,0,63.20351028,0,2104.74416,16.67749801,737.5561523,0,0,0,0,0,736.2600098,0,721.8720703,0,0,949.6325684,3318.366943,0,218.469635,0,0,0,684.8826294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1505.778076,0,1210.734253,0,0,2332.876338,140.5651658,14.35732871,1210.130859,0,0,0,0,0,149.2747498,0,40.46504211,0,0,851.0853356,752.4099051,598.0405884,0,2087.709229,133.647644,1804.791359,0,708.1184883,16.69802664,0,0,0,575.6006556,0,2123.099614,0,723.3048353,4668.249512,2211.732316,0,392.6409979,94.75200595,1047.343074,149.4880207,221.7174999,124.6554217,226.6933775,5171.308271,2604.167182,1359.591038,6410.219424,0,3277.154033,3122.079608,2562.669535,5885.840671,3465.276034,1178.679348,820.3729984,1587.007735,1435.378685,4259.46653,0,1832.318701,1959.691162,656.4427956,2433.61378,1355.717765,0,2427.783188,74681.01824,0,19927.05863,5171.578597,0,7851.794347,1262.622548,299.3564042,1813.809973,2332.848646,459.1781455,1555.627375,2567.93138,215.7330132,0,12219.61417,0,3045.062399,4290.280185,389.2604195,2237.302219,1409.757165,48927.41797,7136.872025,1048.865668,2030.860018,0,2529.946356,3845.492263,1682.517805,2814.79055,2218.731892,350.9786616,0,0,245.9666231,195.2340219,0,7353.062677,292.5381068,1856.688345,193.3062323,510.8698679,0,397.5286501,3646.191961,644.1944072,249.8234688,94.5839109,83.71105194,0,1241.158883,0,13580.97654,0,340.8369971,220.2451855,0,1760.889446,174.1498974,7504.639648,1396.548126,133.2174387,252.7124177,0,0,0,3159.935303,0,106.7959747,60.01975632,0,0,11929.95996,0,0,1121.318589,45.42356567,20.62372672,2394.491556,0,665.7248359,4723.041461,0,4170.725586,0,868.6547241,30.61270115,1947.291026,24783.32832,64.33425903,0,0,0,1100.254883,928.7418823,0,0,0,0,4657.638002,1414.176977,20229.36328,98.91252899,574.5248038,91.23963343,0,0,2278.362057,12776.28811,1098.210298,1103.364456,679.4389463,0,16.94826252,17.89557266,0,0,0,25.09414291,0,551.5184924,967.9713745,0,0,1178.774225,861.4795785,1661.736349,19554.05885,3302.529423,0,1333.065124,0,0,263.9017597,4398.031169,3341.371163,3145.499218,3200.253699,2475.137729,8623.249023,1841.923809,100.656992,20.80824471,0,0,0,549.396294,597.1086705,22588.21094,0,0,39.85029984,0,0,281.7800575,0,0,0
S01,T8,0,876.9060497,1818.744751,11.32654363,2140.896973,26835.72038,17380.77104,397197.9765,635724.966,215698.4531,0,7486.42807,0,55824.49438,3673.303591,6657.613657,0,0,2363.961067,378.1305861,0,0,0,0,0,808.6847534,0,723.5395819,0,1863.756714,0,0,324.2380981,12.04089952,15.77048397,635.3767206,393.4327698,0,0,503.4137573,0,1853.484863,58.60718536,127.3777313,0,0,0,0,0,540.561183,0,174.7752991,0,0,20.43960082,1041.456055,0,0,0,0,0,303.0281374,348.1011152,0,0,0,0,0,0,0,0,0,30.75132751,0,0,0,0,0,0,367.7243347,0,0,209.1517458,0,0,0,0,1058.557945,0,0,0,0,0,502.819397,0,0,0,11.65983458,1301.936464,361.1521038,119.0393647,0,1054.204102,0,422.8085327,0,1200.290894,783.0010376,0,0,161.7716217,590.1486701,698.2730868,247.1668452,0,339.3399702,3407.37915,0,685.6159058,82.10604341,57.12285249,73.39694017,65.64158562,392.8658365,0,155.0477008,4614.69021,1614.954725,1318.526774,0,6264.548256,3870.009254,2587.130476,1351.230921,5851.919371,4022.209448,1867.974706,2039.900178,2428.426406,3737.761407,3549.078256,3384.437268,3358.992902,0,1043.455029,2113.587927,2421.483015,1618.339368,2489.47277,68095.98248,0,17089.06241,4298.975571,2543.080873,2080.461443,928.922357,515.7415264,219.8071875,232.0409241,56.80859103,603.3407108,991.7826169,0,5910.759828,12616.2774,0,1977.870935,1799.065129,340.4425659,1406.658756,210.4581488,1078762.983,0,5331.661798,3509.905927,0,11813.77508,4642.522242,422.937974,0,883.6525295,337.0827038,677.2675591,679.5634395,531.2907386,0,214.6082348,2716.628023,0,0,453.6392023,318.7573831,0,31.48873247,1752.278643,0,205.3630592,122.613652,72.52104364,184.6478016,54.42770004,0,166.1226807,0,107.5324896,0,3741.369967,1079.772227,0,5847.229473,1836.744897,0,388.9054884,0,222.7056341,0,396.7621213,43.67090988,0,0,0,176.0604963,9958.992632,0,0,516.3843373,0,105.7709585,1759.188477,0,941.6931038,3152.212607,601.114014,1359.793701,0,624.4590029,0,1430.927951,47198.82618,293.1540433,0,34.55327988,0,407.1872562,489.2373657,0,0,0,124.2668121,1721.378505,355.9058263,7871.196777,0,0,0,0,0,1140.341037,5529.521535,11.49411883,422.4571228,278.8230931,0,277.90702,0,0,0,395.325592,0,0,920.2114868,0,0,0,2200.927979,606.6492695,370.3027649,7754.186234,0,0,1336.32202,37.56361271,0,688.98662,740.6546366,4131.010694,1329.865625,2716.418398,1571.22047,10744.91699,515.636728,17.14234665,13.16394284,0,0,19.60499435,1300.933772,2861.962141,0,7133.005751,0,369.7239987,0,0,0,0,0,261.0000305
S02,T6,0,1938.079893,30.25332451,0,3543.598817,40485.68235,0,1738653.286,389017.0331,0,0,19806.55834,0,46501.35851,2157.421869,17001.22793,0,0,15844.4331,1029.759701,63.24323971,0,0,500.5549927,2552.19751,45.06640244,47.145401,836.486084,0,21188.01367,0,0,0,57.4251442,20.57774734,17.53074074,0,0,0,147.7426453,0,1370.282837,0,0,79.89794159,49.03734589,14.48877525,0,0,465.0080261,0,599.9564728,50.33059742,0,614.3149414,4979.591797,0,1994.213989,0,0,0,0,109.0451431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.9708557,0,1369.548096,0,2019.202215,19.74366869,0,8433.902698,774.6220847,0,862.2857056,0,0,0,0,0,1908.592754,50.51146858,19.82514191,38.50292969,0,3765.111688,1576.82732,330.9466858,0,4690.810547,35.80480957,2111.409519,0,561.6720581,158.4539834,314.842926,0,448.2408392,1086.010951,0,5017.500484,181.0751319,579.824438,10376.6748,6027.509192,0,2263.358631,8148.057628,2619.124787,1650.64173,1158.751611,389.8648914,491.4091929,15620.90891,2937.665306,3038.951753,17840.32233,0,9853.810997,9203.621089,17645.88152,0,6490.000927,5993.82704,3779.170374,5171.985599,5415.36287,20422.9003,11793.62789,11274.99454,12968.05475,11031.32271,10529.64133,12869.29731,0,9119.23245,126979.6328,0,37742.48514,20778.38501,12085.44588,56989.87852,10105.40514,22000.31697,7338.804046,14460.67581,16232.17255,16940.25311,14492.24772,4364.576412,9172.723633,3259.913664,0,3652.099458,0,103.7212514,1488.629708,0,1139308.5,0,0,7890.318886,5708.809776,2509.166222,4072.631661,0,7330.945248,7284.885782,3128.509193,9347.972249,8892.590876,2790.437373,1060.024053,0,54124.35932,0,3507.159368,1250.787082,0,121.1711396,1065.721802,17972.57813,0,690.9041748,144.6013461,537.8542376,149.9966085,2784.594334,65.56342676,553922.9438,64059.06183,7153.908904,0,2019.799153,734.6556069,47.78497436,1879.207886,0,30.92598503,0,0,0,0,59.12729645,0,0,0,0,319.2808295,11833.45985,63.06380106,0,0,0,0,1899.020326,0,0,2524.019661,0,1011.605164,0,18.52902985,64.10787201,506.913756,16398.80203,17.6907872,0,32.67279053,2670.103986,1166.094595,792.21528,0,0,0,596.5366959,6582.320912,647.3668474,23701.88281,80.92740631,1773.458008,0,0,32.77868271,10360.99435,0,0,0,1344.452933,0,2788.202638,678.6091336,0,0,1176.331534,684.3665102,1419.592896,859.1105957,2309.57959,0,644.5504064,4483.598622,4900.614258,0,53098.10547,0,3778.621885,118.8752898,0,0,1565.026855,8424.680496,0,0,6343.723306,2084.993926,6151.738613,3043.679551,372.5809054,0,707.8670003,0,3681.921064,2870.784931,5554.838572,25229.47461,0,0,32.68777466,0,1042.489746,0,27.23498154,228.0576291,429.3551964
S02,T9,0,0,0,0,1283.845947,32213.28419,14472.80004,365516.2399,441407.9781,0,10330.88432,0,10370.69064,29755.49333,4214.786278,53125.25271,7651.923937,0,20535.13925,9246.390743,1048.724411,1399.997996,554.5815106,170.3762817,28.54095268,0,676.1034546,12861.87566,0,80761.33769,6133.047494,0,5173.083372,2450.307188,2313.626804,3809.395481,2942.418457,0,1867.978045,1832.292293,304.896764,386022.5671,1894.868583,7790.705706,1470.110208,3795.255712,9538.885698,617.4737412,0,3567.672826,0,2265.857239,520.7349407,1024.084097,18499.77959,24922.55987,6959.052156,17355.87314,9794.080616,12316.19477,3783.720947,0,77.55767059,42.48207474,4309.263334,2645.980888,5920.124691,10405.04447,6347.490661,0,24302.45117,625.540014,7414.862305,0,28529.00391,0,10330.82422,7917.483844,5260.876181,12355.0885,0,10528.99074,0,1382.550726,4867.889245,12527.54922,0,117765.0781,0,3086.42129,1291.896406,4341.521842,4388.261761,10331.95274,0,7242.780803,10501.89457,0,19254.99535,3306.841625,4331.011735,0,26188.25503,5717.398543,18044.21805,88675.21875,10390.3024,8712.827306,5750.290618,1410.074534,10438.62479,17595.4606,8610.943441,11925.10901,9760.151128,2189.017723,42852.33594,14345.69096,0,3381.807383,7300.93504,0,4971.359652,2780.431193,8549.860352,101.2200687,17096.14702,4718.318163,2562.477981,20794.48828,0,3058.12544,2022.160324,0,16791.96302,4029.888333,1956.741653,1673.202074,0,2638.270577,13412.34012,0,7323.485365,6278.210408,4906.697072,3701.896724,6460.660512,0,4286.748829,40661.26987,0,18528.77531,16015.48855,7445.840749,54403.11698,7026.933862,13011.30238,7835.62473,9670.696851,11799.07948,12010.89884,8040.856912,0,0,2722.056641,0,65.35730411,0,0,792.0823975,0,38902.53716,8169.466228,0,1078.551947,0,2616.616455,3206.332805,0,3068.207394,5219.016381,60.66248322,8709.420247,3309.46113,0,0,0,22440.83817,0,2948.936472,0,0,0,415.7057495,14845.57813,0,0,0,0,0,720.8101196,0,448808.8484,59804.25701,4396.783996,0,0,48.60796738,0,0,0,97.46841431,0,0,0,0,0,0,0,0,560.1812665,0,15723.43886,0,0,0,0,0,2103.520193,47.36708069,2092.755292,6128.635924,0,1671.328857,0,18.55596072,3222.159659,4773.37835,29079.95031,129.7278544,0,28.74499702,0,0,1785.59082,0,0,0,0,6272.305209,3397.698831,27541.70703,0,2804.741252,0,0,0,4081.299925,13962.83551,1814.160308,2127.985327,1989.627309,39.47763828,0,39.23509598,0,0,0,0,40.02921295,3210.13501,82.82212067,0,0,77.03671265,1217.113525,0,33270.33955,5920.017187,0,1078.211548,0,2997.200439,0,10903.45791,0,73987.95313,6812.355776,4096.743101,18257.93463,5585.062633,0,1702.85144,5292.133301,0,3640.054023,11928.97532,1122.764576,36431.33445,0,4524.033246,2920.911459,0,1013.964417,0,442.4081421,0,24513.90244
