"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","comparison_type","original_feature","original_name"
"Lipid_feature_1","time_ref_before","climb",0.0712906368686721,0.0511650839739761,0.167321100425644,"time_ref_beforeclimb",0.219300175382011,89,89,"ref_before","Lipid_feature_1","LPE 16:0"
"Lipid_feature_1","time_ref_before","after",0.0684283945691896,0.0552574460354121,0.219300175382011,"time_ref_beforeafter",0.219300175382011,89,89,"ref_before","Lipid_feature_1","LPE 16:0"
"Lipid_feature_1","time_ref_after","climb",0.00286224229964962,0.031008163067635,0.926685746615496,"time_ref_afterclimb",0.926685746615496,89,89,"ref_after","Lipid_feature_1","LPE 16:0"
"Lipid_feature_1","time_ref_after","before",-0.0684283945693033,0.0552574460354976,0.219300175381936,"time_ref_afterbefore",0.438600350763873,89,89,"ref_after","Lipid_feature_1","LPE 16:0"
"Lipid_feature_10","time_ref_after","before",0.0214664568538681,0.063836990331162,0.737570408380824,"time_ref_afterbefore",0.976185540243649,89,89,"ref_after","Lipid_feature_10","LPC 16:1"
"Lipid_feature_10","time_ref_before","after",-0.0214664568536125,0.0638369903310945,0.737570408383627,"time_ref_beforeafter",0.737570408383627,89,89,"ref_before","Lipid_feature_10","LPC 16:1"
"Lipid_feature_10","time_ref_after","climb",-0.00107151702042019,0.0357828779097087,0.976185540243649,"time_ref_afterclimb",0.976185540243649,89,89,"ref_after","Lipid_feature_10","LPC 16:1"
"Lipid_feature_10","time_ref_before","climb",-0.0225379738740411,0.0589973127419873,0.703444775500925,"time_ref_beforeclimb",0.737570408383627,89,89,"ref_before","Lipid_feature_10","LPC 16:1"
"Lipid_feature_100","time_ref_before","climb",-0.0102663501627654,0.473804237780196,0.982764930458101,"time_ref_beforeclimb",0.982764930458101,89,74,"ref_before","Lipid_feature_100","PS 16:0-18:4"
"Lipid_feature_100","time_ref_before","after",0.060304670584053,0.516016625574379,0.907260354374938,"time_ref_beforeafter",0.982764930458101,89,74,"ref_before","Lipid_feature_100","PS 16:0-18:4"
"Lipid_feature_100","time_ref_after","climb",-0.0705710207468192,0.288349320236663,0.807275460297947,"time_ref_afterclimb",0.907260354374889,89,74,"ref_after","Lipid_feature_100","PS 16:0-18:4"
"Lipid_feature_100","time_ref_after","before",-0.0603046705840564,0.516016625574379,0.907260354374889,"time_ref_afterbefore",0.907260354374889,89,74,"ref_after","Lipid_feature_100","PS 16:0-18:4"
"Lipid_feature_101","time_ref_after","before",0.0363001024398286,0.0297025716220297,0.225286758626204,"time_ref_afterbefore",0.450573517252408,89,89,"ref_after","Lipid_feature_101","PS 18:2-18:4"
"Lipid_feature_101","time_ref_after","climb",-0.00498330763846261,0.0166473668946283,0.765444312740053,"time_ref_afterclimb",0.765444312740053,89,89,"ref_after","Lipid_feature_101","PS 18:2-18:4"
