"original_name","renamed_name"
"QML5200-240504-03C_bin.45.strict","oral_feature_1"
"QML5200-240511-13C_bin.14.orig","oral_feature_2"
"QML3800-240416-03C_bin.25.orig","oral_feature_3"
"QML5200-240522-03C_bin.15.strict","oral_feature_4"
"QML3800-240416-06C_bin.3.permissive","oral_feature_5"
"QML5200-240511-05C_bin.31.orig","oral_feature_6"
"QML0000-240606-07C_bin.27.orig","oral_feature_7"
"QML6500-240426-01D_bin.25.orig","oral_feature_8"
"QML5200-240511-10C_bin.6.permissive","oral_feature_9"
"QML6500-240426-04C_bin.25.strict","oral_feature_10"
"QML0000-240606-07C_bin.45.strict","oral_feature_11"
"QML3800-240416-02C_bin.22.strict","oral_feature_12"
"QML5200-240522-05C_bin.56.strict","oral_feature_13"
"QML0000-240616-10C_bin.43.orig","oral_feature_14"
"QML5800-240428-09D_bin.8.strict","oral_feature_15"
"QML5200-240511-04C_bin.20.strict","oral_feature_16"
"QML2500-240413-01C_bin.60.strict","oral_feature_17"
"QML3650-240411-07C_bin.16.strict","oral_feature_18"
"QML5200-240511-04C_bin.66.orig","oral_feature_19"
"QML5800-240428-11C_bin.2.strict","oral_feature_20"
"QML5800-240423-05D_bin.6.permissive","oral_feature_21"
"QML0000-240616-10C_bin.8.strict","oral_feature_22"
"QML5200-240418-03C_bin.14.orig","oral_feature_23"
"QML6500-240426-11C_bin.12.strict","oral_feature_24"
"QML3650-240411-05C_bin.75.strict","oral_feature_25"
"QML5200-240522-05C_bin.45.strict","oral_feature_26"
"QML5800-240423-13C_bin.30.strict","oral_feature_27"
"QML5200-240504-05C_bin.60.strict","oral_feature_28"
"QML0000-240616-04C_bin.29.orig","oral_feature_29"
"QML3800-240416-04C_bin.14.strict","oral_feature_30"
"QML5200-240418-04C_bin.27.strict","oral_feature_31"
"QML5200-240504-09C_bin.2.strict","oral_feature_32"
"QML5200-240511-10D_bin.25.permissive","oral_feature_33"
"QML2500-240411-01C_bin.38.strict","oral_feature_34"
"QML6500-240426-04C_bin.36.strict","oral_feature_35"
"QML5200-240418-12C_bin.79.permissive","oral_feature_36"
"EVR0000-240319-04C_bin.61.orig","oral_feature_37"
"QML0000-240616-05C_bin.29.strict","oral_feature_38"
"QML5200-240504-09C_bin.26.strict","oral_feature_39"
"QML5200-240418-06C_bin.36.permissive","oral_feature_40"
"QML5200-240504-08C_bin.70.permissive","oral_feature_41"
"QML3650-240411-06B_bin.60.permissive","oral_feature_42"
"QML5200-240418-06C_bin.25.orig","oral_feature_43"
"QML5800-240423-08C_bin.17.strict","oral_feature_44"
"QML0000-240616-05C_bin.6.orig","oral_feature_45"
"EVR0000-240319-07C_bin.8.strict","oral_feature_46"
"QML5200-240522-08C_bin.8.permissive","oral_feature_47"
"QML6500-240426-11C_bin.44.orig","oral_feature_48"
"QML5800-240423-12C_bin.71.strict","oral_feature_49"
"QML0000-240616-05C_bin.3.strict","oral_feature_50"
"QML5200-240418-10C_bin.51.strict","oral_feature_51"
"QML5200-240504-02C_bin.71.strict","oral_feature_52"
"QML5200-240522-02C_bin.21.strict","oral_feature_53"
"QML0000-240616-01C_bin.44.orig","oral_feature_54"
"QML0000-240616-04C_bin.5.strict","oral_feature_55"
"QML5200-240511-13C_bin.35.orig","oral_feature_56"
"QML5200-240418-07C_bin.16.strict","oral_feature_57"
"QML5200-240522-06C_bin.47.orig","oral_feature_58"
"QML5200-240511-05C_bin.87.strict","oral_feature_59"
"QML5200-240511-05C_bin.71.orig","oral_feature_60"
"QML5200-240504-08C_bin.59.orig","oral_feature_61"
"QML3800-240416-05C_bin.2.strict","oral_feature_62"
"QML5200-240418-10C_bin.11.strict","oral_feature_63"
"QML0000-240616-05C_bin.23.orig","oral_feature_64"
"QML5200-240511-01C_bin.34.strict","oral_feature_65"
"QML6500-240426-03C_bin.67.orig","oral_feature_66"
"QML5800-240423-07C_bin.46.strict","oral_feature_67"
"QML5800-240423-07C_bin.20.strict","oral_feature_68"
"QML5800-240428-10C_bin.11.strict","oral_feature_69"
"QML5200-240418-12C_bin.14.strict","oral_feature_70"
"QML5200-240504-08C_bin.27.strict","oral_feature_71"
"QML5200-240418-01C_bin.46.orig","oral_feature_72"
"QML6500-240426-04C_bin.64.orig","oral_feature_73"
"QML0000-240606-07C_bin.46.orig","oral_feature_74"
"QML5200-240418-04D_bin.9.permissive","oral_feature_75"
"QML5200-240504-02C_bin.87.orig","oral_feature_76"
"QML5800-240423-01C_bin.38.orig","oral_feature_77"
"QML2000-240409-09C_bin.41.strict","oral_feature_78"
"QML5200-240504-08C_bin.38.strict","oral_feature_79"
"QML5200-240511-05C_bin.58.strict","oral_feature_80"
"QML0000-240616-04C_bin.34.orig","oral_feature_81"
"QML5800-240423-07D_bin.3.permissive","oral_feature_82"
"QML5200-240511-05C_bin.64.permissive","oral_feature_83"
"QML5800-240428-02C_bin.37.strict","oral_feature_84"
"QML5200-240504-05C_bin.2.strict","oral_feature_85"
"QML6500-240426-10C_bin.13.strict","oral_feature_86"
"QML5800-240423-13C_bin.27.orig","oral_feature_87"
"QML5800-240423-08D_bin.8.permissive","oral_feature_88"
"QML5200-240504-06C_bin.1.orig","oral_feature_89"
"QML6500-240426-03C_bin.46.orig","oral_feature_90"
"QML3800-240416-01C_bin.79.strict","oral_feature_91"
"QML5800-240423-13C_bin.28.strict","oral_feature_92"
"QML5200-240418-01C_bin.65.orig","oral_feature_93"
"EVR0000-240319-02C_bin.5.strict","oral_feature_94"
"QML5800-240423-08C_bin.10.strict","oral_feature_95"
"QML0000-240616-13C_bin.19.orig","oral_feature_96"
"QML3650-240411-06C_bin.18.permissive","oral_feature_97"
"QML5200-240511-02C_bin.11.orig","oral_feature_98"
"QML3650-240411-08C_bin.5.strict","oral_feature_99"
"QML5200-240504-01C_bin.63.permissive","oral_feature_100"
"QML3650-240411-02D_bin.12.permissive","oral_feature_101"
"QML2500-240413-09C_bin.41.strict","oral_feature_102"
"QML0000-240606-02C_bin.34.orig","oral_feature_103"
"QML5200-240511-01C_bin.57.permissive","oral_feature_104"
"QML0000-240606-07C_bin.19.orig","oral_feature_105"
"QML3650-240329-05C_bin.46.permissive","oral_feature_106"
"EVR0000-240319-07C_bin.5.permissive","oral_feature_107"
"QML5200-240418-01C_bin.84.orig","oral_feature_108"
"QML5200-240511-01D_bin.16.permissive","oral_feature_109"
"QML5200-240522-01C_bin.17.strict","oral_feature_110"
"QML5200-240511-08D_bin.12.strict","oral_feature_111"
"QML5800-240428-04C_bin.54.permissive","oral_feature_112"
"QML5200-240511-13C_bin.59.strict","oral_feature_113"
"QML5800-240423-02D_bin.13.strict","oral_feature_114"
"QML5200-240511-09C_bin.5.permissive","oral_feature_115"
"QML3800-240416-05C_bin.52.orig","oral_feature_116"
"QML5200-240522-05C_bin.4.orig","oral_feature_117"
"QML5200-240511-01C_bin.4.permissive","oral_feature_118"
"EVR0000-240319-06C_bin.6.permissive","oral_feature_119"
"QML5800-240428-09C_bin.34.strict","oral_feature_120"
"QML5200-240511-13C_bin.19.strict","oral_feature_121"
"QML2500-240411-09C_bin.25.permissive","oral_feature_122"
"QML5200-240522-06C_bin.18.orig","oral_feature_123"
"QML5200-240504-01C_bin.54.strict","oral_feature_124"
"QML3800-240416-09C_bin.9.strict","oral_feature_125"
"QML5200-240504-05C_bin.34.strict","oral_feature_126"
