"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","comparison_type","original_feature","original_name"
"Metabolin_feature_11","time_ref_before","climb",0.437703974345329,0.597983977387199,0.46617932328139,"time_ref_beforeclimb",0.46617932328139,89,75,"ref_before","Metabolin_feature_11","3-Hydroxybutyric acid"
"Metabolin_feature_11","time_ref_after","before",-1.25769451844909,0.655878988666058,0.058484780499897,"time_ref_afterbefore",0.058484780499897,89,75,"ref_after","Metabolin_feature_11","3-Hydroxybutyric acid"
"Metabolin_feature_113","time_ref_before","climb",0.204657681772223,0.136614012155797,0.137776093813796,"time_ref_beforeclimb",0.139276179636941,89,65,"ref_before","Metabolin_feature_113","Heptacosanoic acid"
"Metabolin_feature_113","time_ref_after","before",-0.22360925845333,0.149840570180258,0.13927617963694,"time_ref_afterbefore",0.278552359273881,89,65,"ref_after","Metabolin_feature_113","Heptacosanoic acid"
"Metabolin_feature_113","time_ref_after","climb",-0.018951576681107,0.0835957304644972,0.821191079356677,"time_ref_afterclimb",0.821191079356677,89,65,"ref_after","Metabolin_feature_113","Heptacosanoic acid"
"Metabolin_feature_113","time_ref_before","after",0.22360925845333,0.149840570180259,0.139276179636941,"time_ref_beforeafter",0.139276179636941,89,65,"ref_before","Metabolin_feature_113","Heptacosanoic acid"
"Metabolin_feature_114","time_ref_after","climb",-0.146340347170217,0.0529201799629645,0.00703378336857471,"time_ref_afterclimb",0.0140675667371494,89,89,"ref_after","Metabolin_feature_114","Oxoglutaric acid"
"Metabolin_feature_114","time_ref_after","before",-0.0557293566587056,0.0947930247019141,0.558240413035481,"time_ref_afterbefore",0.558240413035481,89,89,"ref_after","Metabolin_feature_114","Oxoglutaric acid"
"Metabolin_feature_114","time_ref_before","climb",-0.0906109905107027,0.086780779742303,0.299435479588324,"time_ref_beforeclimb",0.558240413028217,89,89,"ref_before","Metabolin_feature_114","Oxoglutaric acid"
"Metabolin_feature_114","time_ref_before","after",0.0557293566595265,0.0947930247013222,0.558240413028217,"time_ref_beforeafter",0.558240413028217,89,89,"ref_before","Metabolin_feature_114","Oxoglutaric acid"
"Metabolin_feature_117","time_ref_before","climb",0.363033638845686,0.194286687590775,0.0652803921285235,"time_ref_beforeclimb",0.0990916618949962,89,4,"ref_before","Metabolin_feature_117","Glycodeoxycholic acid(GDCA)"
"Metabolin_feature_117","time_ref_before","after",0.350153801324965,0.209793407771687,0.0990916618949962,"time_ref_beforeafter",0.0990916618949962,89,4,"ref_before","Metabolin_feature_117","Glycodeoxycholic acid(GDCA)"
"Metabolin_feature_117","time_ref_after","before",-0.35015380132516,0.209793407771748,0.0990916618956397,"time_ref_afterbefore",0.198183323791279,89,4,"ref_after","Metabolin_feature_117","Glycodeoxycholic acid(GDCA)"
"Metabolin_feature_117","time_ref_after","climb",0.0128798375207759,0.117738525936226,0.91316295233956,"time_ref_afterclimb",0.91316295233956,89,4,"ref_after","Metabolin_feature_117","Glycodeoxycholic acid(GDCA)"
"Metabolin_feature_118","time_ref_after","before",-0.405402687038469,0.189742370114669,0.0354715646804908,"time_ref_afterbefore",0.0709431293609817,89,43,"ref_after","Metabolin_feature_118","Glycochenodeoxycholic acid(GCDCA)"
"Metabolin_feature_118","time_ref_after","climb",0.0459639711798876,0.105856858464428,0.665224321190651,"time_ref_afterclimb",0.665224321190651,89,43,"ref_after","Metabolin_feature_118","Glycochenodeoxycholic acid(GCDCA)"
"Metabolin_feature_118","time_ref_before","climb",0.451366658218357,0.172993645353402,0.0107033568695647,"time_ref_beforeclimb",0.0214067137391293,89,43,"ref_before","Metabolin_feature_118","Glycochenodeoxycholic acid(GCDCA)"
"Metabolin_feature_118","time_ref_before","after",0.40540268703847,0.189742370114669,0.0354715646804884,"time_ref_beforeafter",0.0354715646804884,89,43,"ref_before","Metabolin_feature_118","Glycochenodeoxycholic acid(GCDCA)"
"Metabolin_feature_12","time_ref_before","climb",0.0164693544882946,0.0455323050264236,0.718501732432309,"time_ref_beforeclimb",0.718501732432309,89,89,"ref_before","Metabolin_feature_12","L-Serine(Ser)"
"Metabolin_feature_12","time_ref_before","after",0.0416603756449791,0.0494182248055024,0.40177998387503,"time_ref_beforeafter",0.718501732432309,89,89,"ref_before","Metabolin_feature_12","L-Serine(Ser)"
"Metabolin_feature_12","time_ref_after","climb",-0.025191021156744,0.0276560713441322,0.365091327560953,"time_ref_afterclimb",0.401779983887818,89,89,"ref_after","Metabolin_feature_12","L-Serine(Ser)"
"Metabolin_feature_12","time_ref_after","before",-0.0416603756440486,0.0494182248057794,0.401779983887818,"time_ref_afterbefore",0.401779983887818,89,89,"ref_after","Metabolin_feature_12","L-Serine(Ser)"
"Metabolin_feature_121","time_ref_before","climb",0.0237242579265325,0.0312287424792977,0.449620208064516,"time_ref_beforeclimb",0.449620208064516,89,89,"ref_before","Metabolin_feature_121","Citric acid"
"Metabolin_feature_121","time_ref_before","after",0.0319180208034584,0.0338774259534731,0.349003210522629,"time_ref_beforeafter",0.449620208064516,89,89,"ref_before","Metabolin_feature_121","Citric acid"
"Metabolin_feature_121","time_ref_after","climb",-0.00819376287684336,0.0189634821902074,0.666841294539174,"time_ref_afterclimb",0.666841294539174,89,89,"ref_after","Metabolin_feature_121","Citric acid"
"Metabolin_feature_121","time_ref_after","before",-0.0319180208035862,0.0338774259535152,0.34900321052137,"time_ref_afterbefore",0.666841294539174,89,89,"ref_after","Metabolin_feature_121","Citric acid"
"Metabolin_feature_122","time_ref_after","climb",0.0616119246780987,0.0321651290147047,0.0590389113288995,"time_ref_afterclimb",0.118077822657799,89,89,"ref_after","Metabolin_feature_122","Isocitric acid"
"Metabolin_feature_122","time_ref_after","before",0.012009680334027,0.0571528611741443,0.834117371756971,"time_ref_afterbefore",0.834117371756971,89,89,"ref_after","Metabolin_feature_122","Isocitric acid"
"Metabolin_feature_122","time_ref_before","climb",0.0496022443442247,0.0531582067147962,0.35357091309862,"time_ref_beforeclimb",0.70714182619724,89,89,"ref_before","Metabolin_feature_122","Isocitric acid"
"Metabolin_feature_122","time_ref_before","after",-0.0120096803339717,0.057152861174232,0.834117371757919,"time_ref_beforeafter",0.834117371757919,89,89,"ref_before","Metabolin_feature_122","Isocitric acid"
"Metabolin_feature_124","time_ref_before","climb",0.102957745803508,0.0692191142914005,0.140752174965439,"time_ref_beforeclimb",0.140752174965439,89,39,"ref_before","Metabolin_feature_124","23-Nordeoxycholic Acid Diacetate"
"Metabolin_feature_124","time_ref_before","after",0.1129485335971,0.0752921780691316,0.13763007427476,"time_ref_beforeafter",0.140752174965439,89,39,"ref_before","Metabolin_feature_124","23-Nordeoxycholic Acid Diacetate"
