"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","comparison_type","original_feature","original_name"
"cognitive_feature_1","time_ref_after","climb",0.290628950440059,0.655573632512013,0.659864726461161,"time_ref_afterclimb",0.659864726461161,51,2,"ref_after","cognitive_feature_1","AudiCate_bias"
"cognitive_feature_10","time_ref_after","climb",-0.0640302594165922,0.0294737981205266,0.0330693657870453,"time_ref_afterclimb",0.0330693657870453,75,75,"ref_after","cognitive_feature_10","SpatialMem_error_distance"
"cognitive_feature_11","time_ref_after","climb",-0.0721470145700494,0.029344497187958,0.0166505588349843,"time_ref_afterclimb",0.0166505588349843,77,77,"ref_after","cognitive_feature_11","SpatialMem_max_repeat"
"cognitive_feature_12","time_ref_after","climb",-0.0361264331730512,0.014675145500812,0.0165190895962091,"time_ref_afterclimb",0.0165190895962091,77,77,"ref_after","cognitive_feature_12","SpatialMem_score"
"cognitive_feature_13","time_ref_after","climb",-0.0550984772860832,0.0348081395126678,0.118289995396736,"time_ref_afterclimb",0.118289995396736,77,77,"ref_after","cognitive_feature_13","SpatialMem_total_time"
"cognitive_feature_14","time_ref_after","climb",-0.0897997537187856,0.0413860327398615,0.0336956973237013,"time_ref_afterclimb",0.0336956973237013,77,77,"ref_after","cognitive_feature_14","SpatialMem_trial_num"
"cognitive_feature_15","time_ref_after","climb",-0.0040893341767166,0.0127191415887145,0.748881351121635,"time_ref_afterclimb",0.748881351121635,77,72,"ref_after","cognitive_feature_15","VisSearch_RT"
"cognitive_feature_16","time_ref_after","climb",0.00255685051665994,0.00127998524891653,0.0499313447583709,"time_ref_afterclimb",0.0499313447583709,77,77,"ref_after","cognitive_feature_16","VisSearch_hit_rate"
"cognitive_feature_17","time_ref_after","climb",-0.000663511352407998,0.00112497301339756,0.557096135517062,"time_ref_afterclimb",0.557096135517062,77,77,"ref_after","cognitive_feature_17","VisSearch_hit_rate_BL"
"cognitive_feature_19","time_ref_after","climb",-0.000988046648020049,0.00124347325924352,0.429361488534427,"time_ref_afterclimb",0.429361488534427,77,77,"ref_after","cognitive_feature_19","VisSearch_hit_rate_TL"
"cognitive_feature_2","time_ref_after","climb",0.409815610001931,0.467212383311193,0.383205943753636,"time_ref_afterclimb",0.383205943753636,77,75,"ref_after","cognitive_feature_2","AudiCate_click_RT"
"cognitive_feature_20","time_ref_after","climb",-0.000625435600787783,0.00390700793889251,0.873248059026494,"time_ref_afterclimb",0.873248059026494,77,77,"ref_after","cognitive_feature_20","VisSearch_hit_rate_TR"
"cognitive_feature_21","time_ref_after","climb",0.0341961340010118,0.503443784806131,0.9460265488053,"time_ref_afterclimb",0.9460265488053,77,4,"ref_after","cognitive_feature_21","VisSearch_missing_rate"
"cognitive_feature_22","time_ref_after","climb",0.00769561084841321,0.0155701475733859,0.622829529258183,"time_ref_afterclimb",0.622829529258183,77,77,"ref_after","cognitive_feature_22","VisSearch_order"
"cognitive_feature_23","time_ref_after","climb",0.00129598055503116,0.00176904967354197,0.466494134315084,"time_ref_afterclimb",0.466494134315084,77,77,"ref_after","cognitive_feature_23","VisSearch_score"
"cognitive_feature_24","time_ref_after","climb",-0.0193972456542595,0.0125537808001182,0.127279745916193,"time_ref_afterclimb",0.127279745916193,77,77,"ref_after","cognitive_feature_24","VisSearch_total_time"
"cognitive_feature_25","time_ref_after","climb",0.0182062368364431,0.0198295995591555,0.362039092297318,"time_ref_afterclimb",0.362039092297318,77,77,"ref_after","cognitive_feature_25","stroop_disturb_time"
"cognitive_feature_26","time_ref_after","climb",0.000853030560840548,0.116722227813614,0.994191114831182,"time_ref_afterclimb",0.994191114831182,77,1,"ref_after","cognitive_feature_26","stroop_increase_rate"
"cognitive_feature_27","time_ref_after","climb",0.009797775771144,0.111961652225854,0.930533262274794,"time_ref_afterclimb",0.930533262274794,77,62,"ref_after","cognitive_feature_27","stroop_increase_time"
"cognitive_feature_28","time_ref_after","climb",0.0890572994493253,0.0910822245504902,0.331815594348854,"time_ref_afterclimb",0.331815594348854,77,75,"ref_after","cognitive_feature_28","stroop_score"
"cognitive_feature_29","time_ref_after","climb",0.0550939869264786,0.0403225498187453,0.176601007053612,"time_ref_afterclimb",0.176601007053612,77,77,"ref_after","cognitive_feature_29","stroop_total_time"
"cognitive_feature_3","time_ref_after","climb",0.293939679088833,0.412969230867702,0.47881452423577,"time_ref_afterclimb",0.47881452423577,77,75,"ref_after","cognitive_feature_3","AudiCate_formal_Acc"
