site,MAG,Microbe,mean_plasticity
oral,QML0000-240616-05C_bin.37.orig,Leptotrichia wadei,1.5319
oral,QML3650-240329-05C_bin.19.orig,Nanogingivalis,-1.4978
gut,QML5800-240423-05B_bin.45.orig,Agathobaculum butyriciproducens,-1.356
oral,QML0000-240606-04C_bin.21.strict,Mogibacterium diversum_A,-1.3484
oral,QML5200-240504-01C_bin.49.orig,Nanosynbacter sp007845355,-1.1313
gut,QML5800-240428-06B_bin.67.orig,Butyricimonas virosa,1.041
oral,QML3650-240329-05C_bin.37.permissive,Mogibacterium sp938041965,-0.9916
oral,QML5200-240511-05C_bin.47.permissive,Leptotrichia,0.9874
oral,QML6500-240426-02C_bin.11.permissive,Granulicatella sp938039195,-0.9314
gut,QML6500-240426-07B_bin.16.orig,Oscillibacter welbionis,-0.8404
oral,EVR0000-240319-04C_bin.35.strict,Granulicatella sp963551375,-0.8001
oral,QML5800-240423-11C_bin.22.orig,Granulicatella sp963551375,-0.8001
oral,QML5800-240423-11C_bin.22.orig,Granulicatella sp963551375,-0.8001
oral,EVR0000-240319-04C_bin.35.strict,Granulicatella sp963551375,-0.8001
oral,QML0000-240616-10C_bin.48.strict,Pauljensenia sp958349165,0.7363
oral,QML5800-240423-07C_bin.42.orig,Nanogingivalis sp938045655,-0.706
gut,QML6500-240426-07B_bin.34.strict,Eubacterium_G ventriosum,-0.6593
oral,QML5800-240428-07D_bin.10.orig,Granulicatella sp015264885,-0.5506
gut,QML3800-240416-05B_bin.21.strict,Vescimonas coprocola,-0.5418
oral,QML5200-240418-12C_bin.22.orig,Prevotella,-0.5403
oral,QML6500-240426-11C_bin.12.strict,Pauljensenia sp900554605,-0.4544
oral,QML0000-240616-10C_bin.32.strict,Haemophilus_D parainfluenzae_AI,-0.4205
oral,QML0000-240616-01C_bin.2.strict,Granulicatella,0.3545
oral,QML6500-240426-04C_bin.30.strict,Actinomyces sp963526355,0.2743
skin,QML5200-240504-06D_bin.3.strict,Staphylococcus capitis,0.2631
gut,QML5800-240423-05B_bin.41.permissive,Parasutterella gallistercoris,0.1781
gut,QML3650-240319-06B_bin.71.permissive,Parasutterella gallistercoris,0.1781
gut,QML3650-240319-06B_bin.71.permissive,Parasutterella gallistercoris,0.1781
gut,QML5800-240423-05B_bin.41.permissive,Parasutterella gallistercoris,0.1781
gut,QML5800-240428-02B_bin.44.strict,Anthropogastromicrobium aceti,-0.0812
gut,QML5800-240428-05B_bin.5.permissive,Pilosibacter sp900066785,0.0423
