site,MAG,Microbe,mean_plasticity
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-08D_bin.12.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-03C_bin.25.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-08D_bin.12.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-08D_bin.12.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-03C_bin.25.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-03C_bin.25.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-08D_bin.12.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-03C_bin.25.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-08D_bin.12.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-03C_bin.25.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-08D_bin.12.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-03C_bin.25.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-08D_bin.12.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-03C_bin.25.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-08D_bin.12.strict,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-03C_bin.25.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240504-04C_bin.43.orig,CAG-793 sp013333395,-4.1175
oral,QML3800-240416-04C_bin.50.orig,Parvimonas,-4.0588
oral,QML0000-240616-13C_bin.25.orig,Pauljensenia sp916438945,-4.058
oral,QML5200-240418-10C_bin.46.strict,Peptostreptococcus sp900759325,-4.0504
oral,QML2000-240409-09C_bin.45.strict,Peptostreptococcus sp900759325,-4.0504
oral,EVR0000-240319-01C_bin.44.strict,Peptostreptococcus sp900759325,-4.0504
oral,QML5200-240418-10C_bin.46.strict,Peptostreptococcus sp900759325,-4.0504
oral,QML2000-240409-09C_bin.45.strict,Peptostreptococcus sp900759325,-4.0504
oral,QML3800-240416-08C_bin.58.permissive,Peptostreptococcus sp900759325,-4.0504
oral,QML5200-240418-10C_bin.46.strict,Peptostreptococcus sp900759325,-4.0504
oral,EVR0000-240319-01C_bin.44.strict,Peptostreptococcus sp900759325,-4.0504
oral,QML3800-240416-08C_bin.58.permissive,Peptostreptococcus sp900759325,-4.0504
oral,EVR0000-240319-06C_bin.28.permissive,Peptostreptococcus sp900759325,-4.0504
oral,EVR0000-240319-01C_bin.44.strict,Peptostreptococcus sp900759325,-4.0504
oral,EVR0000-240319-01C_bin.44.strict,Peptostreptococcus sp900759325,-4.0504
oral,EVR0000-240319-06C_bin.28.permissive,Peptostreptococcus sp900759325,-4.0504
oral,QML2000-240409-09C_bin.45.strict,Peptostreptococcus sp900759325,-4.0504
oral,QML5200-240418-10C_bin.46.strict,Peptostreptococcus sp900759325,-4.0504
oral,QML3800-240416-08C_bin.58.permissive,Peptostreptococcus sp900759325,-4.0504
oral,EVR0000-240319-06C_bin.28.permissive,Peptostreptococcus sp900759325,-4.0504
oral,QML3800-240416-08C_bin.58.permissive,Peptostreptococcus sp900759325,-4.0504
oral,EVR0000-240319-06C_bin.28.permissive,Peptostreptococcus sp900759325,-4.0504
oral,QML5200-240418-10C_bin.46.strict,Peptostreptococcus sp900759325,-4.0504
oral,QML3800-240416-08C_bin.58.permissive,Peptostreptococcus sp900759325,-4.0504
oral,EVR0000-240319-06C_bin.28.permissive,Peptostreptococcus sp900759325,-4.0504
oral,EVR0000-240319-01C_bin.44.strict,Peptostreptococcus sp900759325,-4.0504
oral,QML2000-240409-09C_bin.45.strict,Peptostreptococcus sp900759325,-4.0504
oral,QML2000-240409-09C_bin.45.strict,Peptostreptococcus sp900759325,-4.0504
oral,QML5800-240423-04C_bin.50.orig,Oribacterium sp916439225,-4.0478
oral,QML3800-240416-09C_bin.9.strict,Prevotella shahii,-3.9778
oral,QML3800-240416-09C_bin.9.strict,Prevotella shahii,-3.9778
oral,QML0000-240606-04C_bin.18.orig,Prevotella shahii,-3.9778
oral,QML0000-240606-04C_bin.18.orig,Prevotella shahii,-3.9778
skin,QML5200-240511-10D_bin.1.strict,Corynebacterium accolens,3.9765
skin,QML5200-240511-10D_bin.1.strict,Corynebacterium accolens,3.9765
skin,QML5200-240504-10D_bin.1.strict,Corynebacterium accolens,3.9765
skin,QML5200-240504-10D_bin.1.strict,Corynebacterium accolens,3.9765
oral,QML5200-240504-06C_bin.29.strict,Oribacterium sp963537185,-3.6649
oral,QML5800-240423-04C_bin.8.orig,Campylobacter_A showae_A,-3.5408
gut,QML0000-240616-06B_bin.27.permissive,Scatosoma sp003150575,3.5105
oral,QML3800-240416-06C_bin.43.orig,Alloprevotella sp963542795,-3.5074
oral,QML6500-240426-02D_bin.3.strict,Fusobacterium pseudoperiodonticum,-3.461
oral,QML2000-240409-09C_bin.41.strict,Fusobacterium pseudoperiodonticum,-3.461
oral,QML0000-240606-07C_bin.45.strict,Fusobacterium pseudoperiodonticum,-3.461
oral,QML3650-240411-05C_bin.45.orig,Fusobacterium pseudoperiodonticum,-3.461
oral,QML6500-240426-02D_bin.3.strict,Fusobacterium pseudoperiodonticum,-3.461
oral,QML3650-240411-05C_bin.45.orig,Fusobacterium pseudoperiodonticum,-3.461
oral,QML2000-240409-09C_bin.41.strict,Fusobacterium pseudoperiodonticum,-3.461
oral,QML3650-240411-05C_bin.45.orig,Fusobacterium pseudoperiodonticum,-3.461
oral,QML6500-240426-02D_bin.3.strict,Fusobacterium pseudoperiodonticum,-3.461
oral,QML0000-240606-07C_bin.45.strict,Fusobacterium pseudoperiodonticum,-3.461
oral,QML0000-240606-07C_bin.45.strict,Fusobacterium pseudoperiodonticum,-3.461
oral,QML2000-240409-09C_bin.41.strict,Fusobacterium pseudoperiodonticum,-3.461
oral,QML3650-240411-05C_bin.45.orig,Fusobacterium pseudoperiodonticum,-3.461
oral,QML6500-240426-02D_bin.3.strict,Fusobacterium pseudoperiodonticum,-3.461
oral,QML0000-240606-07C_bin.45.strict,Fusobacterium pseudoperiodonticum,-3.461
oral,QML2000-240409-09C_bin.41.strict,Fusobacterium pseudoperiodonticum,-3.461
oral,QML5200-240511-13C_bin.15.orig,Prevotella aurantiaca,-3.3751
oral,EVR0000-240319-04C_bin.10.strict,Pauljensenia sp001072465,-3.3258
oral,QML5800-240428-05C_bin.9.strict,Treponema_D sp963544675,-3.3078
oral,QML5800-240428-05C_bin.9.strict,Treponema_D sp963544675,-3.3078
oral,QML5200-240511-02C_bin.8.strict,Treponema_D sp963544675,-3.3078
oral,QML5200-240511-02C_bin.8.strict,Treponema_D sp963544675,-3.3078
oral,QML5800-240423-06C_bin.35.orig,Corynebacterium durum,-3.1306
oral,QML5800-240423-04C_bin.56.orig,Corynebacterium durum,-3.1306
oral,QML5200-240418-05C_bin.54.strict,Corynebacterium durum,-3.1306
oral,QML5200-240418-03C_bin.29.permissive,Corynebacterium durum,-3.1306
oral,QML5200-240511-05C_bin.74.permissive,Cardiobacterium sp938028185,-3.0524
oral,QML5200-240511-05C_bin.74.permissive,Cardiobacterium sp938028185,-3.0524
oral,QML0000-240616-05C_bin.52.orig,Cardiobacterium sp938028185,-3.0524
oral,QML0000-240616-05C_bin.52.orig,Cardiobacterium sp938028185,-3.0524
oral,QML3650-240329-05C_bin.53.strict,JABCPE02 sp013333255,-3.0182
oral,QML3650-240329-05C_bin.53.strict,JABCPE02 sp013333255,-3.0182
oral,QML3650-240411-06C_bin.38.permissive,JABCPE02 sp013333255,-3.0182
oral,QML3650-240411-06C_bin.38.permissive,JABCPE02 sp013333255,-3.0182
oral,QML5200-240418-04C_bin.27.strict,Nanosynbacter sp900556355,-2.8547
oral,QML3800-240416-05C_bin.27.strict,Nanosynbacter sp900556355,-2.8547
oral,QML5200-240418-04C_bin.27.strict,Nanosynbacter sp900556355,-2.8547
oral,QML3800-240416-05C_bin.27.strict,Nanosynbacter sp900556355,-2.8547
oral,QML6500-240426-06C_bin.73.permissive,Alloprevotella tannerae,-2.8064
oral,QML6500-240426-09C_bin.20.permissive,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240606-07C_bin.18.strict,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240616-04C_bin.5.strict,Leptotrichia_A sp000469505,-2.7969
oral,QML5800-240423-01C_bin.38.orig,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240615-03C_bin.30.permissive,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240616-04C_bin.5.strict,Leptotrichia_A sp000469505,-2.7969
oral,QML6500-240426-09C_bin.20.permissive,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240615-03C_bin.30.permissive,Leptotrichia_A sp000469505,-2.7969
oral,QML5800-240423-01C_bin.38.orig,Leptotrichia_A sp000469505,-2.7969
oral,QML6500-240426-09C_bin.20.permissive,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240606-07C_bin.18.strict,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240616-04C_bin.5.strict,Leptotrichia_A sp000469505,-2.7969
oral,QML5800-240423-01C_bin.38.orig,Leptotrichia_A sp000469505,-2.7969
oral,QML5800-240423-01C_bin.38.orig,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240616-04C_bin.5.strict,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240615-03C_bin.30.permissive,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240606-07C_bin.18.strict,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240615-03C_bin.30.permissive,Leptotrichia_A sp000469505,-2.7969
oral,QML6500-240426-09C_bin.20.permissive,Leptotrichia_A sp000469505,-2.7969
oral,QML5800-240423-01C_bin.38.orig,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240606-07C_bin.18.strict,Leptotrichia_A sp000469505,-2.7969
oral,QML6500-240426-09C_bin.20.permissive,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240615-03C_bin.30.permissive,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240616-04C_bin.5.strict,Leptotrichia_A sp000469505,-2.7969
oral,QML0000-240606-07C_bin.18.strict,Leptotrichia_A sp000469505,-2.7969
gut,QML5800-240423-08B_bin.36.orig,Bacteroides clarus,-2.6785
oral,QML3650-240319-04D_bin.7.permissive,Haemophilus_D sp900755445,-2.5337
oral,EVR0000-240319-04C_bin.58.strict,Prevotella melaninogenica_A,-2.5072
oral,QML5200-240522-09C_bin.33.orig,Leptotrichia_A sp937925095,-2.4781
oral,QML3650-240411-03C_bin.55.strict,Leptotrichia_A sp937925095,-2.4781
oral,QML5200-240522-09C_bin.33.orig,Leptotrichia_A sp937925095,-2.4781
oral,QML3650-240411-03C_bin.55.strict,Leptotrichia_A sp937925095,-2.4781
gut,QML5200-240504-06B_bin.32.strict,Limivivens faecihominis,-2.4737
oral,QML3650-240329-05C_bin.46.permissive,Campylobacter_A rectus,-2.4148
oral,QML0000-240606-05C_bin.16.strict,Campylobacter_A rectus,-2.4148
