"original_name","renamed_name"
"Indole-3-carboxaldehyde","Metabolin_feature_129"
"L-Glutamine(Gln)","Metabolin_feature_130"
"L-Lysine","Metabolin_feature_131"
"L-Methionine(Met)","Metabolin_feature_132"
"Hydrocinnamic acid","Metabolin_feature_133"
"2-Phenylpropionate","Metabolin_feature_134"
"Piperine","Metabolin_feature_135"
"Hydroxyoctanoic acid","Metabolin_feature_136"
"L-Carnitine (C0)","Metabolin_feature_137"
"4-Hydroxycinnamic acid","Metabolin_feature_138"
"Desaminotyrosine","Metabolin_feature_139"
"N2-Acetylornithine","Metabolin_feature_140"
"Hydroxyphenyllactic acid","Metabolin_feature_141"
"10-Hydroxydecanoic acid","Metabolin_feature_142"
"Salicyluric acid","Metabolin_feature_143"
"3-Indolebutyric acid","Metabolin_feature_144"
"L-Acetylcarnitine(C2)","Metabolin_feature_145"
"Propionylcarnitine(C3)","Metabolin_feature_146"
"Curcumin","Metabolin_feature_147"
"Isovalerylcarnitine(C5)","Metabolin_feature_148"
"Glutaric acid","Metabolin_feature_149"
"Gamma-Linolenic acid","Metabolin_feature_150"
"N-Phenylacetylphenylalanine","Metabolin_feature_151"
"Decanoylcarnitine (C10)","Metabolin_feature_152"
"Dodecanoylcarnitine(C12)","Metabolin_feature_153"
"Cytidine triphosphate","Metabolin_feature_154"
"Dodecanedioic acid","Metabolin_feature_155"
"Palmitoylcarnitine(C16)","Metabolin_feature_156"
"O-Adipoylcarnitine(C6DC)","Metabolin_feature_157"
"Oleoylcarnitine","Metabolin_feature_158"
"Stearoylcarnitine(C18)","Metabolin_feature_159"
"Glycolic acid","Metabolin_feature_160"
"Hexadecenoic Acid","Metabolin_feature_161"
"Adipic acid","Metabolin_feature_162"
"Vaccenic acid","Metabolin_feature_163"
"Erucic acid","Metabolin_feature_164"
"Lithocholic acid(LCA)","Metabolin_feature_165"
"Lithocholic Acid Acetate","Metabolin_feature_166"
"4-Hydroxybenzoic acid","Metabolin_feature_167"
"Acesulfame","Metabolin_feature_168"
"But-2-enoic acid","Metabolin_feature_169"
"Valeric acid","Metabolin_feature_170"
"3-Hydroxyisovaleric acid","Metabolin_feature_171"
"5-Aminoimidazole-4-carboxamide","Metabolin_feature_172"
"4-Hydroxyproline","Metabolin_feature_173"
"4-Hydroxy-D-proline","Metabolin_feature_174"
"2-Methylbenzoic acid","Metabolin_feature_175"
"3,4-Dihydroxybenzaldehyde","Metabolin_feature_176"
"2-Methylheptanoic Acid","Metabolin_feature_177"
"N,N-Dimethyl-L-Valine","Metabolin_feature_178"
"3-Methyloxindole","Metabolin_feature_179"
"3,4-Dihydro-2H-1-benzopyran-2-one","Metabolin_feature_180"
"2-Phenylglycine","Metabolin_feature_181"
"3-Hydroxyphenylacetic acid","Metabolin_feature_182"
"3-Hydroxyanthranilic acid","Metabolin_feature_183"
"3-Aminosalicylic acid","Metabolin_feature_184"
"Gentisic acid","Metabolin_feature_185"
"2-Indolecarboxylic acid","Metabolin_feature_186"
"S-Allylcysteine","Metabolin_feature_187"
"m-Coumaric acid","Metabolin_feature_188"
"Vanillic acid","Metabolin_feature_189"
"p-Hydroxymandelic acid","Metabolin_feature_190"
"beta-Glycerophosphoric acid","Metabolin_feature_191"
"N-Acetylleucine","Metabolin_feature_192"
"Glycylvaline","Metabolin_feature_193"
"Glucosamine","Metabolin_feature_194"
"Indoleacrylic acid","Metabolin_feature_195"
"N-Acetylglutamine","Metabolin_feature_196"
"N-Acetyl-L-methionine","Metabolin_feature_197"
"3-Hydroxyhippuric acid","Metabolin_feature_198"
"Gluconic acid","Metabolin_feature_199"
"Homoveratric acid","Metabolin_feature_200"
"Selenomethionine","Metabolin_feature_201"
"Syringic acid","Metabolin_feature_202"
"Dodecanoic acid","Metabolin_feature_203"
"Diethyl oxalpropionate","Metabolin_feature_204"
"Indolepyruvate","Metabolin_feature_205"
"L-Tryptophan(Trp)","Metabolin_feature_206"
"Xanthurenic acid","Metabolin_feature_207"
"L-Kynurenine","Metabolin_feature_208"
"N-a-Acetyl-L-arginine","Metabolin_feature_209"
"N-Acetyl-D-glucosamine","Metabolin_feature_210"
"Carnosine","Metabolin_feature_211"
"Butyrylcarnitine(C4)","Metabolin_feature_212"
"3,4,5-Trimethoxycinnamic acid","Metabolin_feature_213"
"Maleic acid","Metabolin_feature_214"
"Fumaric acid","Metabolin_feature_215"
"23-Nordeoxycholic Acid Methyl Ester","Metabolin_feature_216"
"Itaconic acid","Metabolin_feature_217"
"N-Acetyl-L-alanine","Metabolin_feature_218"
"Inosine","Metabolin_feature_219"
"N-Methyl-D-aspartic acid","Metabolin_feature_220"
"Tartaric acid","Metabolin_feature_221"
"7-Dehydrocholic Acid Methyl Ester","Metabolin_feature_222"
"Aspartame","Metabolin_feature_223"
"Pimelic acid","Metabolin_feature_224"
"3-Oxoadipic acid","Metabolin_feature_225"
"Retinoic acid","Metabolin_feature_226"
"12-Hydroxystearic acid","Metabolin_feature_227"
"Menadione(Vitamin K3)","Metabolin_feature_228"
"11Z-Eicosenoic acid","Metabolin_feature_229"
"S-Carboxymethyl-L-cysteine","Metabolin_feature_230"
"4-Hydroxyphenylpyruvic acid","Metabolin_feature_231"
"Etiadienic Acid","Metabolin_feature_232"
"Uridine 5'-monophosphate","Metabolin_feature_233"
"Kynurenic acid","Metabolin_feature_234"
"Dehydroascorbic acid (DHA)","Metabolin_feature_235"
"Docosatrienoic acid","Metabolin_feature_236"
"Isomaltose","Metabolin_feature_237"
"Melibiose","Metabolin_feature_238"
"Lactulose","Metabolin_feature_239"
"Medroxyprogesterone","Metabolin_feature_240"
"Etiadienic Acid 3-Acetate","Metabolin_feature_241"
"Etienic Acid Acetate","Metabolin_feature_242"
"Taurochenodeoxycholic acid(TCDCA)","Metabolin_feature_243"
"Taurohyodeoxycholic Acid(THDCA)","Metabolin_feature_244"
"12-Ketolithocholic Acid Benzoate, Methyl Ester","Metabolin_feature_245"
"Isolithocholic acid(ILCA)","Metabolin_feature_246"
"23-Nordeoxycholic acid","Metabolin_feature_247"
"N-acetyltryptophan","Metabolin_feature_248"
"Malonylcarnitine(C3DC)","Metabolin_feature_249"
"12-Ketolithocholic acid(12-keto-LCA)","Metabolin_feature_250"
"Hyodeoxycholic acid(HDCA)","Metabolin_feature_251"
"Ursodeoxycholic acid(UDCA)","Metabolin_feature_252"
"Dehydrocholic Acid(DHCA)","Metabolin_feature_253"
"Dioxolithocholic Acid(di-oxo-LCA","Metabolin_feature_254"
"Glycoursodeoxycholic acid(GUDCA)","Metabolin_feature_255"
"Glycocholic acid (GCA)","Metabolin_feature_256"
"12-Dehydrocholic Acid Diacetate","Metabolin_feature_257"
"Dehydrolithocholic acid (DHLCA)","Metabolin_feature_258"
"Diethyl tartrate","Metabolin_feature_259"
"Ortho-Hydroxyphenylacetic acid","Metabolin_feature_260"
