"original_name","renamed_name"
"PC 16:0-20:4","Lipid_feature_143"
"PC 18:1-18:3","Lipid_feature_144"
"PC 18:2-18:2","Lipid_feature_145"
"PC 16:0-20:3","Lipid_feature_146"
"PC 18:0-18:3","Lipid_feature_147"
"PC 18:1-18:2","Lipid_feature_148"
"PC 16:0-20:2","Lipid_feature_149"
"PC 18:0-18:2","Lipid_feature_150"
"PC 18:1-18:1","Lipid_feature_151"
"PC 16:0-20:1","Lipid_feature_152"
"PC 18:0-18:1","Lipid_feature_153"
"PC 16:1-22:6","Lipid_feature_154"
"PC 18:2-20:5","Lipid_feature_155"
"PC 16:1-22:5","Lipid_feature_156"
"PC 16:0-22:6","Lipid_feature_157"
"PC 18:3-20:3","Lipid_feature_158"
"PC 18:2-20:4","Lipid_feature_159"
"PC 18:1-20:5","Lipid_feature_160"
"PC 16:0-22:5","Lipid_feature_161"
"PC 18:2-20:3","Lipid_feature_162"
"PC 18:1-20:4","Lipid_feature_163"
"PC 18:0-20:5","Lipid_feature_164"
"PC 16:0-22:4","Lipid_feature_165"
"PC 18:2-20:2","Lipid_feature_166"
"PC 18:1-20:3","Lipid_feature_167"
"PC 18:0-20:4","Lipid_feature_168"
"PC 18:2-20:1","Lipid_feature_169"
"PC 18:1-20:2","Lipid_feature_170"
"PC 18:0-20:3","Lipid_feature_171"
"PC 18:2-20:0","Lipid_feature_172"
"PC 18:1-20:1","Lipid_feature_173"
"PC 18:0-20:2","Lipid_feature_174"
"PC 18:1-20:0","Lipid_feature_175"
"PC 18:0-20:1","Lipid_feature_176"
"PC 20:5-20:5","Lipid_feature_177"
"PC 18:3-22:6","Lipid_feature_178"
"PC 18:2-22:6","Lipid_feature_179"
"PC 20:4-20:4","Lipid_feature_180"
"PC 18:2-22:5","Lipid_feature_181"
"PC 18:1-22:6","Lipid_feature_182"
"PC 20:2-20:5","Lipid_feature_183"
"PC 20:3-20:4","Lipid_feature_184"
"PC 18:2-22:4","Lipid_feature_185"
"PC 18:1-22:5","Lipid_feature_186"
"PC 18:0-22:6","Lipid_feature_187"
"PC 18:1-22:4","Lipid_feature_188"
"PC 18:0-22:5","Lipid_feature_189"
"PC 20:1-20:4","Lipid_feature_190"
"PC 20:2-20:3","Lipid_feature_191"
"PC 18:2-22:2","Lipid_feature_192"
"PC 18:1-22:3","Lipid_feature_193"
"PC 18:0-22:4","Lipid_feature_194"
"PC 20:0-20:4","Lipid_feature_195"
"PC 20:1-20:3","Lipid_feature_196"
"PC 18:1-22:2","Lipid_feature_197"
"PC 18:0-22:3","Lipid_feature_198"
"PC 18:2-22:0","Lipid_feature_199"
"PC 18:0-22:2","Lipid_feature_200"
"PC 18:1-22:0","Lipid_feature_201"
"PC 20:4-22:6","Lipid_feature_202"
"PC 20:4-22:5","Lipid_feature_203"
"PC 20:3-22:6","Lipid_feature_204"
"PC 20:4-22:3","Lipid_feature_205"
"PC 20:1-22:6","Lipid_feature_206"
"PC 20:4-22:2","Lipid_feature_207"
"PC 20:4-22:1","Lipid_feature_208"
"PI 16:0-16:1","Lipid_feature_209"
"PI 16:0-16:0","Lipid_feature_210"
"PI 16:1-18:2","Lipid_feature_211"
"PI 16:0-18:3","Lipid_feature_212"
"PI 16:1-18:1","Lipid_feature_213"
"PI 16:0-18:2","Lipid_feature_214"
"PI 16:1-18:0","Lipid_feature_215"
"PI 16:0-18:1","Lipid_feature_216"
"PI 18:3-18:4","Lipid_feature_217"
"PI 18:2-18:4","Lipid_feature_218"
"PI 16:0-20:4","Lipid_feature_219"
"PI 16:0-20:3","Lipid_feature_220"
"PI 18:1-18:2","Lipid_feature_221"
"PI 18:0-18:3","Lipid_feature_222"
"PI 16:0-20:2","Lipid_feature_223"
"PI 18:1-18:1","Lipid_feature_224"
"PI 18:0-18:2","Lipid_feature_225"
"PI 16:0-20:1","Lipid_feature_226"
"PI 18:0-18:1","Lipid_feature_227"
"PI 16:0-20:0","Lipid_feature_228"
"PI 18:0-18:0","Lipid_feature_229"
"PI 18:2-20:5","Lipid_feature_230"
"PI 16:0-22:5","Lipid_feature_231"
"PI 18:1-20:4","Lipid_feature_232"
"PI 18:0-20:5","Lipid_feature_233"
"PI 16:0-22:4","Lipid_feature_234"
"PI 18:2-20:2","Lipid_feature_235"
"PI 18:0-20:4","Lipid_feature_236"
"PI 18:2-20:1","Lipid_feature_237"
"PI 18:1-20:2","Lipid_feature_238"
"PI 18:0-20:3","Lipid_feature_239"
"PI 18:2-20:0","Lipid_feature_240"
"PI 18:1-20:1","Lipid_feature_241"
"PI 18:0-20:2","Lipid_feature_242"
"PI 20:4-20:5","Lipid_feature_243"
"PI 18:2-22:6","Lipid_feature_244"
"PI 20:4-20:4","Lipid_feature_245"
"PI 18:2-22:5","Lipid_feature_246"
"PI 18:0-22:6","Lipid_feature_247"
"PI 18:0-22:5","Lipid_feature_248"
"PI 18:2-22:2","Lipid_feature_249"
"PI 18:1-22:3","Lipid_feature_250"
"PI 20:0-20:4","Lipid_feature_251"
"PI 18:2-22:1","Lipid_feature_252"
"PI 18:0-22:3","Lipid_feature_253"
"PI 18:0-22:2","Lipid_feature_254"
"PI 20:4-22:6","Lipid_feature_255"
"PI 20:4-22:5","Lipid_feature_256"
"PI 20:4-22:4","Lipid_feature_257"
"PI 20:4-22:3","Lipid_feature_258"
"PI 20:4-22:2","Lipid_feature_259"
"PI 20:4-22:1","Lipid_feature_260"
"Cer d18:1/22:0","Lipid_feature_261"
"Cer d18:1/24:1","Lipid_feature_262"
"Cer d18:1/24:0","Lipid_feature_263"
"DAG 16:0-16:1","Lipid_feature_264"
"DAG 16:0-16:0","Lipid_feature_265"
"DAG 16:1-18:3","Lipid_feature_266"
"DAG 16:1-18:2","Lipid_feature_267"
"DAG 16:0-18:3","Lipid_feature_268"
"DAG 16:1-18:1","Lipid_feature_269"
"DAG 16:0-18:2","Lipid_feature_270"
